START	END
711055	761032
761032	761243
761243	826312
826312	827388
827388	840475
840475	889708
889708	1055856
1055856	1134404
1134404	1165213
1165213	1237331
1237331	1281579
1281579	1281951
1281951	1282224
1282224	1282329
1282329	1286215
1286215	1286504
1286504	1380511
1380511	1383052
1383052	1424420
1424420	1451220
1451220	1451347
1451347	1451611
1451611	1451670
1451670	1452231
1452231	1452286
1452286	1478851
1478851	1494699
1494699	1505220
1505220	1523974
1523974	1580369
1580369	1583382
1583382	1583760
1583760	1583972
1583972	1584149
1584149	1584216
1584216	1584410
1584410	1584739
1584739	1593616
1593616	1766662
1766662	1767225
1767225	1767346
1767346	1777620
1777620	1778102
1778102	1832807
1832807	1833922
1833922	1988440
1988440	2457327
2457327	2459055
2459055	2510842
2510842	2510934
2510934	2510938
2510938	2511426
2511426	2511457
2511457	2745138
2745138	2745155
2745155	2798945
2798945	2831675
2831675	2831844
2831844	2832097
2832097	2832278
2832278	2889382
2889382	2889651
2889651	2889956
2889956	2890049
2890049	2898634
2898634	3072108
3072108	3072634
3072634	3072824
3072824	3073026
3073026	3073131
3073131	3297055
3297055	3322368
3322368	3414764
3414764	3501176
3501176	3571876
3571876	3572995
3572995	3573574
3573574	3574220
3574220	3709909
3709909	3710353
3710353	3858389
3858389	3883245
3883245	3884016
3884016	3884163
3884163	3884645
3884645	3884918
3884918	3905449
3905449	3957037
3957037	3957100
3957100	3957180
3957180	3957301
3957301	3957395
3957395	3957418
3957418	3958247
3958247	3958363
3958363	3958403
3958403	4148333
4148333	4317164
4317164	4394672
4394672	4510308
4510308	4616156
4616156	4616736
4616736	4616907
4616907	4616956
4616956	4617611
4617611	4657599
4657599	4658043
4658043	4658348
4658348	4658609
4658609	4658659
4658659	4715648
4715648	4745635
4745635	4926299
4926299	4939961
4939961	4960906
4960906	5056657
5056657	5057165
5057165	5057395
5057395	5159578
5159578	5306166
5306166	5378825
5378825	5491665
5491665	5545925
5545925	5546198
5546198	5546482
5546482	5563870
5563870	5609207
5609207	5622694
5622694	5623585
5623585	5644503
5644503	5663365
5663365	5894863
5894863	5894904
5894904	5894913
5894913	5895099
5895099	5895433
5895433	5895573
5895573	5938620
5938620	5938968
5938968	6006581
6006581	6008626
6008626	6162173
6162173	6175742
6175742	6176392
6176392	6226718
6226718	6304073
6304073	6319879
6319879	6351085
6351085	6406952
6406952	6453119
6453119	6593337
6593337	6611676
6611676	6674149
6674149	6722259
6722259	6754858
6754858	6783704
6783704	6807140
6807140	6898580
6898580	6898791
6898791	6899036
6899036	6899141
6899141	6899179
6899179	6987772
6987772	7015936
7015936	7329933
7329933	7329936
7329936	7500466
7500466	7500695
7500695	7668476
7668476	7678564
7678564	7678859
7678859	7679169
7679169	7916132
7916132	7916744
7916744	7975044
7975044	7975145
7975145	8236962
8236962	8257451
8257451	8258002
8258002	8258225
8258225	8258284
8258284	8852372
8852372	8870764
8870764	8870766
8870766	8871480
8871480	8907917
8907917	9018743
9018743	9116124
9116124	9188501
9188501	9242414
9242414	9242832
9242832	9243197
9243197	9489697
9489697	9521269
9521269	9523961
9523961	9822675
9822675	9954371
9954371	10048327
10048327	10110778
10110778	10111467
10111467	10112026
10112026	10112347
10112347	10151076
10151076	10241973
10241973	10242978
10242978	10383062
10383062	10423980
10423980	10424653
10424653	10464048
10464048	10565708
10565708	10845843
10845843	11236411
11236411	11236445
11236445	11236809
11236809	11237318
11237318	11243624
11243624	11260095
11260095	11330770
11330770	11331303
11331303	11356616
11356616	11450165
11450165	11710172
11710172	11710321
11710321	11774626
11774626	11775148
11775148	11775216
11775216	11775223
11775223	11789946
11789946	11790260
11790260	11870023
11870023	11870334
11870334	11870707
11870707	11870729
11870729	11910813
11910813	12187236
12187236	12204008
12204008	12204354
12204354	12204380
12204380	12260690
12260690	12368319
12368319	12516353
12516353	12517328
12517328	12757190
12757190	13210698
13210698	13317050
13317050	13353502
13353502	13353666
13353666	13353682
13353682	13390305
13390305	13390923
13390923	13391115
13391115	13746832
13746832	13755284
13755284	14327702
14327702	14327924
14327924	14328093
14328093	14621062
14621062	14621122
14621122	14670656
14670656	14734898
14734898	15028194
15028194	15065473
15065473	15065612
15065612	15065694
15065694	15065872
15065872	15065893
15065893	15065986
15065986	15066338
15066338	15066362
15066362	15066493
15066493	15066801
15066801	15283090
15283090	15661162
15661162	15664974
15664974	15819039
15819039	15819075
15819075	15819224
15819224	15819501
15819501	15820194
15820194	15914703
15914703	16059922
16059922	16089836
16089836	16200543
16200543	16373579
16373579	16397886
16397886	16399176
16399176	16399326
16399326	16494752
16494752	16494763
16494763	16494766
16494766	16566650
16566650	16704263
16704263	16704728
16704728	16704737
16704737	16705311
16705311	16705420
16705420	16771242
16771242	16771976
16771976	16801536
16801536	16807331
16807331	16807484
16807484	16807772
16807772	16808319
16808319	16808496
16808496	16898889
16898889	17755974
17755974	17756384
17756384	18101281
18101281	18209294
18209294	18209452
18209452	18209532
18209532	18775656
18775656	19206898
19206898	19452279
19452279	19452292
19452292	19452538
19452538	19453045
19453045	19453363
19453363	19559952
19559952	19672484
19672484	19672682
19672682	19673181
19673181	19826399
19826399	19826921
19826921	19827047
19827047	19844482
19844482	19846105
19846105	19890651
19890651	20099982
20099982	20109973
20109973	20110188
20110188	20110200
20110200	20128326
20128326	20161994
20161994	20162050
20162050	20205304
20205304	20206013
20206013	20235583
20235583	20367030
20367030	20414774
20414774	20414822
20414822	21289113
21289113	21477855
21477855	21684345
21684345	21684502
21684502	21684611
21684611	21684705
21684705	22038101
22038101	22038350
22038350	22038661
22038661	22038855
22038855	22046788
22046788	22052247
22052247	22053915
22053915	22054175
22054175	22153972
22153972	22154996
22154996	22155212
22155212	22155393
22155393	22621843
22621843	22905124
22905124	23193163
23193163	23200521
23200521	23378388
23378388	23378723
23378723	23378782
23378782	23408189
23408189	23408396
23408396	23408590
23408590	23408770
23408770	23497054
23497054	23594765
23594765	23595687
23595687	23650309
23650309	23656153
23656153	23656419
23656419	23663451
23663451	23664533
23664533	23909995
23909995	23910124
23910124	23936558
23936558	24014044
24014044	24014058
24014058	24014060
24014060	24014138
24014138	24014183
24014183	24582806
24582806	24583576
24583576	24584028
24584028	24852103
24852103	24951072
24951072	25169698
25169698	25261859
25261859	25319859
25319859	25409557
25409557	25412573
25412573	25413188
25413188	25413694
25413694	26340802
26340802	29563073
29563073	29636347
29636347	30830500
30830500	30830699
30830699	31025756
31025756	31025999
31025999	31480875
